Date	Split/Skill	Time	CALLSOFFERED	AHT	SLA %	Sch	Needed	Aban Calls	Held Calls
10/05/2025	BlueNet_Premium_EN	00:00:00	74	372	99.0	31	31.0	1	0
10/05/2025	BlueNet_Premium_EN	00:15:00	19	423	99.0	9	9.0	0	0
10/05/2025	BlueNet_Premium_EN	00:30:00	56	345	98.0	21	21.0	0	0
10/05/2025	BlueNet_Premium_EN	00:45:00	37	373	99.0	15	15.0	0	0
10/05/2025	BlueNet_Premium_EN	01:00:00	19	322	98.5	7	7.0	0	0
10/05/2025	BlueNet_Premium_EN	01:15:00	68	315	99.0	24	24.0	0	0
10/05/2025	BlueNet_Premium_EN	01:30:00	19	355	97.2	7	7.0	0	0
10/05/2025	BlueNet_Premium_EN	01:45:00	19	389	97.0	8	8.0	0	0
10/05/2025	BlueNet_Premium_EN	02:00:00	19	402	98.6	8	8.0	0	0
10/05/2025	BlueNet_Premium_EN	02:15:00	58	361	94.4	23	23.0	1	0
10/05/2025	BlueNet_Premium_EN	02:30:00	19	337	96.4	7	7.0	0	0
10/05/2025	BlueNet_Premium_EN	02:45:00	36	304	98.6	12	12.0	0	0
10/05/2025	BlueNet_Premium_EN	03:00:00	34	344	99.0	13	13.0	0	0
10/05/2025	BlueNet_Premium_EN	03:15:00	33	358	99.0	13	13.0	0	0
10/05/2025	BlueNet_Premium_EN	03:30:00	45	345	97.9	17	17.0	0	0
10/05/2025	BlueNet_Premium_EN	03:45:00	45	314	99.0	16	16.0	0	0
10/05/2025	BlueNet_Premium_EN	04:00:00	106	359	96.1	42	42.0	1	0
10/05/2025	BlueNet_Premium_EN	04:15:00	78	350	98.8	30	30.0	0	0
10/05/2025	BlueNet_Premium_EN	04:30:00	73	371	99.0	30	30.0	1	0
10/05/2025	BlueNet_Premium_EN	04:45:00	64	339	99.0	24	24.0	0	0
10/05/2025	BlueNet_Premium_EN	05:00:00	46	350	99.0	18	18.0	0	0
10/05/2025	BlueNet_Premium_EN	05:15:00	69	359	99.0	28	28.0	1	0
10/05/2025	BlueNet_Premium_EN	05:30:00	92	368	98.5	38	38.0	0	0
10/05/2025	BlueNet_Premium_EN	05:45:00	96	347	99.0	37	37.0	1	1
10/05/2025	BlueNet_Premium_EN	06:00:00	108	340	97.7	41	41.0	1	1
10/05/2025	BlueNet_Premium_EN	06:15:00	150	331	96.6	55	55.0	1	1
10/05/2025	BlueNet_Premium_EN	06:30:00	102	361	99.0	41	41.0	0	0
10/05/2025	BlueNet_Premium_EN	06:45:00	160	349	99.0	62	62.0	1	0
10/05/2025	BlueNet_Premium_EN	07:00:00	119	401	98.8	53	53.0	1	0
10/05/2025	BlueNet_Premium_EN	07:15:00	136	354	99.0	53	53.0	0	1
10/05/2025	BlueNet_Premium_EN	07:30:00	133	362	98.6	53	53.0	0	1
10/05/2025	BlueNet_Premium_EN	07:45:00	178	382	95.7	76	76.0	1	1
10/05/2025	BlueNet_Premium_EN	08:00:00	122	385	99.0	52	52.0	1	1
10/05/2025	BlueNet_Premium_EN	08:15:00	173	348	98.0	67	67.0	1	1
10/05/2025	BlueNet_Premium_EN	08:30:00	204	406	99.0	92	92.0	1	1
10/05/2025	BlueNet_Premium_EN	08:45:00	156	412	99.0	71	71.0	1	1
10/05/2025	BlueNet_Premium_EN	09:00:00	82	350	92.2	32	32.0	0	0
10/05/2025	BlueNet_Premium_EN	09:15:00	135	359	99.0	54	54.0	0	1
10/05/2025	BlueNet_Premium_EN	09:30:00	158	367	96.9	64	64.0	1	1
10/05/2025	BlueNet_Premium_EN	09:45:00	185	339	99.0	70	70.0	2	0
10/05/2025	BlueNet_Premium_EN	10:00:00	214	357	98.3	85	85.0	2	0
10/05/2025	BlueNet_Premium_EN	10:15:00	176	334	99.0	65	65.0	2	1
10/05/2025	BlueNet_Premium_EN	10:30:00	169	357	99.0	67	67.0	1	1
10/05/2025	BlueNet_Premium_EN	10:45:00	202	355	98.4	80	80.0	1	1
10/05/2025	BlueNet_Premium_EN	11:00:00	180	368	99.0	74	74.0	0	1
10/05/2025	BlueNet_Premium_EN	11:15:00	187	372	99.0	77	77.0	2	1
10/05/2025	BlueNet_Premium_EN	11:30:00	173	357	96.6	69	69.0	1	1
10/05/2025	BlueNet_Premium_EN	11:45:00	234	391	95.5	102	102.0	2	0
10/05/2025	BlueNet_Premium_EN	12:00:00	193	335	99.0	72	72.0	2	0
10/05/2025	BlueNet_Premium_EN	12:15:00	221	349	98.9	86	86.0	2	0
10/05/2025	BlueNet_Premium_EN	12:30:00	198	341	99.0	75	75.0	1	1
10/05/2025	BlueNet_Premium_EN	12:45:00	218	397	99.0	96	96.0	2	1
10/05/2025	BlueNet_Premium_EN	13:00:00	209	354	94.9	82	82.0	2	0
10/05/2025	BlueNet_Premium_EN	13:15:00	207	354	98.7	81	81.0	1	1
10/05/2025	BlueNet_Premium_EN	13:30:00	194	392	95.1	84	84.0	2	1
10/05/2025	BlueNet_Premium_EN	13:45:00	136	321	96.3	49	49.0	1	1
10/05/2025	BlueNet_Premium_EN	14:00:00	133	333	94.8	49	49.0	0	1
10/05/2025	BlueNet_Premium_EN	14:15:00	145	356	98.6	57	57.0	1	1
10/05/2025	BlueNet_Premium_EN	14:30:00	203	345	95.3	78	78.0	2	1
10/05/2025	BlueNet_Premium_EN	14:45:00	185	381	97.9	78	78.0	1	0
10/05/2025	BlueNet_Premium_EN	15:00:00	154	324	97.1	55	55.0	1	0
10/05/2025	BlueNet_Premium_EN	15:15:00	200	374	98.9	83	83.0	2	0
10/05/2025	BlueNet_Premium_EN	15:30:00	183	334	99.0	68	68.0	1	0
10/05/2025	BlueNet_Premium_EN	15:45:00	165	366	99.0	67	67.0	1	1
10/05/2025	BlueNet_Premium_EN	16:00:00	166	381	96.2	70	70.0	1	1
10/05/2025	BlueNet_Premium_EN	16:15:00	157	406	99.0	71	71.0	1	0
10/05/2025	BlueNet_Premium_EN	16:30:00	101	322	98.6	36	36.0	1	1
10/05/2025	BlueNet_Premium_EN	16:45:00	132	362	99.0	53	53.0	1	0
10/05/2025	BlueNet_Premium_EN	17:00:00	141	383	98.0	60	60.0	1	0
10/05/2025	BlueNet_Premium_EN	17:15:00	119	361	99.0	48	48.0	1	1
10/05/2025	BlueNet_Premium_EN	17:30:00	94	369	97.5	39	39.0	0	0
10/05/2025	BlueNet_Premium_EN	17:45:00	60	342	97.5	23	23.0	0	0
10/05/2025	BlueNet_Premium_EN	18:00:00	80	351	99.0	31	31.0	1	0
10/05/2025	BlueNet_Premium_EN	18:15:00	124	340	94.9	47	47.0	1	0
10/05/2025	BlueNet_Premium_EN	18:30:00	108	375	97.4	45	45.0	1	1
10/05/2025	BlueNet_Premium_EN	18:45:00	42	406	99.0	19	19.0	0	0
10/05/2025	BlueNet_Premium_EN	19:00:00	103	363	99.0	42	42.0	1	0
10/05/2025	BlueNet_Premium_EN	19:15:00	39	361	99.0	16	16.0	0	0
10/05/2025	BlueNet_Premium_EN	19:30:00	66	306	99.0	22	22.0	0	0
10/05/2025	BlueNet_Premium_EN	19:45:00	89	358	99.0	35	35.0	1	0
10/05/2025	BlueNet_Premium_EN	20:00:00	52	374	99.0	22	22.0	1	0
10/05/2025	BlueNet_Premium_EN	20:15:00	19	318	99.0	7	7.0	0	0
10/05/2025	BlueNet_Premium_EN	20:30:00	19	364	99.0	8	8.0	0	0
