Date	Split/Skill	Time	CALLSOFFERED	AHT	SLA %	Sch	Needed	Aban Calls	Held Calls
10/02/2025	BlueNet_Premium_EN	00:00:00	42	351	99.0	16	16.0	0	0
10/02/2025	BlueNet_Premium_EN	00:15:00	22	369	95.1	9	9.0	0	0
10/02/2025	BlueNet_Premium_EN	00:30:00	18	349	99.0	7	7.0	0	0
10/02/2025	BlueNet_Premium_EN	00:45:00	17	347	99.0	7	7.0	0	0
10/02/2025	BlueNet_Premium_EN	01:00:00	21	333	98.7	8	8.0	0	0
10/02/2025	BlueNet_Premium_EN	01:15:00	12	360	99.0	5	5.0	0	0
10/02/2025	BlueNet_Premium_EN	01:30:00	36	364	99.0	15	15.0	0	0
10/02/2025	BlueNet_Premium_EN	01:45:00	27	370	98.4	11	11.0	0	0
10/02/2025	BlueNet_Premium_EN	02:00:00	11	342	96.6	4	4.0	0	0
10/02/2025	BlueNet_Premium_EN	02:15:00	31	369	99.0	13	13.0	0	0
10/02/2025	BlueNet_Premium_EN	02:30:00	25	333	99.0	9	9.0	0	0
10/02/2025	BlueNet_Premium_EN	02:45:00	19	354	99.0	7	7.0	0	0
10/02/2025	BlueNet_Premium_EN	03:00:00	59	367	99.0	24	24.0	0	0
10/02/2025	BlueNet_Premium_EN	03:15:00	31	353	99.0	12	12.0	0	0
10/02/2025	BlueNet_Premium_EN	03:30:00	11	320	99.0	4	4.0	0	0
10/02/2025	BlueNet_Premium_EN	03:45:00	30	323	99.0	11	11.0	0	0
10/02/2025	BlueNet_Premium_EN	04:00:00	54	365	97.3	22	22.0	0	0
10/02/2025	BlueNet_Premium_EN	04:15:00	24	374	99.0	10	10.0	0	0
10/02/2025	BlueNet_Premium_EN	04:30:00	60	368	99.0	25	25.0	1	0
10/02/2025	BlueNet_Premium_EN	04:45:00	29	375	99.0	12	12.0	0	0
10/02/2025	BlueNet_Premium_EN	05:00:00	73	352	99.0	29	29.0	1	0
10/02/2025	BlueNet_Premium_EN	05:15:00	43	378	99.0	18	18.0	0	0
10/02/2025	BlueNet_Premium_EN	05:30:00	50	368	98.4	20	20.0	0	0
10/02/2025	BlueNet_Premium_EN	05:45:00	52	344	99.0	20	20.0	0	0
10/02/2025	BlueNet_Premium_EN	06:00:00	73	372	94.2	30	30.0	0	0
10/02/2025	BlueNet_Premium_EN	06:15:00	98	367	99.0	40	40.0	1	1
10/02/2025	BlueNet_Premium_EN	06:30:00	70	401	97.5	31	31.0	1	0
10/02/2025	BlueNet_Premium_EN	06:45:00	73	394	95.5	32	32.0	0	0
10/02/2025	BlueNet_Premium_EN	07:00:00	66	357	99.0	26	26.0	1	0
10/02/2025	BlueNet_Premium_EN	07:15:00	52	349	99.0	20	20.0	0	0
10/02/2025	BlueNet_Premium_EN	07:30:00	75	398	93.6	33	33.0	0	0
10/02/2025	BlueNet_Premium_EN	07:45:00	64	373	98.3	27	27.0	0	0
10/02/2025	BlueNet_Premium_EN	08:00:00	56	355	99.0	22	22.0	0	0
10/02/2025	BlueNet_Premium_EN	08:15:00	90	310	99.0	31	31.0	1	0
10/02/2025	BlueNet_Premium_EN	08:30:00	85	341	98.3	32	32.0	0	0
10/02/2025	BlueNet_Premium_EN	08:45:00	121	339	90.2	46	46.0	1	1
10/02/2025	BlueNet_Premium_EN	09:00:00	85	356	98.7	34	34.0	1	0
10/02/2025	BlueNet_Premium_EN	09:15:00	113	375	99.0	47	47.0	0	0
10/02/2025	BlueNet_Premium_EN	09:30:00	115	379	99.0	48	48.0	1	0
10/02/2025	BlueNet_Premium_EN	09:45:00	129	397	98.2	57	57.0	1	1
