Date	Split/Skill	Time	CALLSOFFERED	AHT	SLA %	Sch	Needed	Aban Calls	Held Calls
10/04/2025	BlueNet_Premium_EN	00:00:00	17	388	98.4	7	7.0	0	0
10/04/2025	BlueNet_Premium_EN	00:15:00	36	389	99.0	16	16.0	0	0
10/04/2025	BlueNet_Premium_EN	00:30:00	32	383	99.0	14	14.0	0	0
10/04/2025	BlueNet_Premium_EN	00:45:00	25	367	95.5	10	10.0	0	0
10/04/2025	BlueNet_Premium_EN	01:00:00	40	379	98.1	17	17.0	0	0
10/04/2025	BlueNet_Premium_EN	01:15:00	17	353	99.0	7	7.0	0	0
10/04/2025	BlueNet_Premium_EN	01:30:00	17	402	99.0	8	8.0	0	0
10/04/2025	BlueNet_Premium_EN	01:45:00	17	320	98.9	6	6.0	0	0
10/04/2025	BlueNet_Premium_EN	02:00:00	17	361	99.0	7	7.0	0	0
10/04/2025	BlueNet_Premium_EN	02:15:00	42	348	99.0	16	16.0	0	0
10/04/2025	BlueNet_Premium_EN	02:30:00	32	377	97.6	13	13.0	0	0
10/04/2025	BlueNet_Premium_EN	02:45:00	60	351	99.0	23	23.0	0	0
10/04/2025	BlueNet_Premium_EN	03:00:00	60	420	96.5	28	28.0	0	0
10/04/2025	BlueNet_Premium_EN	03:15:00	31	382	99.0	13	13.0	0	0
10/04/2025	BlueNet_Premium_EN	03:30:00	27	335	99.0	10	10.0	0	0
10/04/2025	BlueNet_Premium_EN	03:45:00	32	300	99.0	11	11.0	0	0
10/04/2025	BlueNet_Premium_EN	04:00:00	107	331	99.0	39	39.0	1	1
10/04/2025	BlueNet_Premium_EN	04:15:00	57	374	99.0	24	24.0	0	0
10/04/2025	BlueNet_Premium_EN	04:30:00	59	353	99.0	23	23.0	0	0
10/04/2025	BlueNet_Premium_EN	04:45:00	78	345	99.0	30	30.0	0	0
10/04/2025	BlueNet_Premium_EN	05:00:00	34	341	99.0	13	13.0	0	0
10/04/2025	BlueNet_Premium_EN	05:15:00	70	380	95.8	30	30.0	0	0
10/04/2025	BlueNet_Premium_EN	05:30:00	63	351	99.0	25	25.0	0	0
10/04/2025	BlueNet_Premium_EN	05:45:00	63	349	99.0	24	24.0	0	0
10/04/2025	BlueNet_Premium_EN	06:00:00	89	384	99.0	38	38.0	1	0
10/04/2025	BlueNet_Premium_EN	06:15:00	102	399	99.0	45	45.0	0	0
10/04/2025	BlueNet_Premium_EN	06:30:00	73	332	99.0	27	27.0	1	0
10/04/2025	BlueNet_Premium_EN	06:45:00	102	389	99.0	44	44.0	1	0
10/04/2025	BlueNet_Premium_EN	07:00:00	119	357	99.0	47	47.0	0	0
10/04/2025	BlueNet_Premium_EN	07:15:00	133	382	95.2	56	56.0	1	0
10/04/2025	BlueNet_Premium_EN	07:30:00	119	376	99.0	50	50.0	1	1
10/04/2025	BlueNet_Premium_EN	07:45:00	139	360	99.0	56	56.0	1	0
10/04/2025	BlueNet_Premium_EN	08:00:00	126	361	99.0	51	51.0	1	1
10/04/2025	BlueNet_Premium_EN	08:15:00	173	376	97.3	72	72.0	1	0
10/04/2025	BlueNet_Premium_EN	08:30:00	158	332	97.1	58	58.0	1	1
10/04/2025	BlueNet_Premium_EN	08:45:00	130	331	99.0	48	48.0	1	0
10/04/2025	BlueNet_Premium_EN	09:00:00	139	412	99.0	64	64.0	1	1
10/04/2025	BlueNet_Premium_EN	09:15:00	165	389	98.3	71	71.0	1	1
10/04/2025	BlueNet_Premium_EN	09:30:00	145	384	97.7	62	62.0	1	1
10/04/2025	BlueNet_Premium_EN	09:45:00	111	356	99.0	44	44.0	0	0
10/04/2025	BlueNet_Premium_EN	10:00:00	172	319	99.0	61	61.0	1	0
10/04/2025	BlueNet_Premium_EN	10:15:00	157	346	99.0	60	60.0	1	0
10/04/2025	BlueNet_Premium_EN	10:30:00	187	370	99.0	77	77.0	1	1
10/04/2025	BlueNet_Premium_EN	10:45:00	172	388	96.7	74	74.0	1	0
10/04/2025	BlueNet_Premium_EN	11:00:00	189	370	99.0	78	78.0	1	1
10/04/2025	BlueNet_Premium_EN	11:15:00	239	371	99.0	99	99.0	1	1
10/04/2025	BlueNet_Premium_EN	11:30:00	208	355	99.0	82	82.0	2	1
10/04/2025	BlueNet_Premium_EN	11:45:00	165	376	99.0	69	69.0	1	1
10/04/2025	BlueNet_Premium_EN	12:00:00	186	337	98.8	70	70.0	1	0
10/04/2025	BlueNet_Premium_EN	12:15:00	178	363	99.0	72	72.0	1	0
10/04/2025	BlueNet_Premium_EN	12:30:00	181	354	99.0	71	71.0	0	0
10/04/2025	BlueNet_Premium_EN	12:45:00	132	396	99.0	58	58.0	1	0
10/04/2025	BlueNet_Premium_EN	13:00:00	200	300	94.3	67	67.0	1	1
10/04/2025	BlueNet_Premium_EN	13:15:00	110	356	97.3	44	44.0	0	0
10/04/2025	BlueNet_Premium_EN	13:30:00	168	366	99.0	68	68.0	1	1
10/04/2025	BlueNet_Premium_EN	13:45:00	121	313	99.0	42	42.0	0	0
10/04/2025	BlueNet_Premium_EN	14:00:00	146	378	99.0	61	61.0	1	1
10/04/2025	BlueNet_Premium_EN	14:15:00	167	356	98.2	66	66.0	1	1
10/04/2025	BlueNet_Premium_EN	14:30:00	181	336	99.0	68	68.0	0	1
10/04/2025	BlueNet_Premium_EN	14:45:00	182	385	98.1	78	78.0	1	1
10/04/2025	BlueNet_Premium_EN	15:00:00	147	341	99.0	56	56.0	1	1
10/04/2025	BlueNet_Premium_EN	15:15:00	174	380	97.2	73	73.0	1	1
10/04/2025	BlueNet_Premium_EN	15:30:00	142	364	99.0	57	57.0	1	1
10/04/2025	BlueNet_Premium_EN	15:45:00	121	349	95.5	47	47.0	1	0
10/04/2025	BlueNet_Premium_EN	16:00:00	145	334	98.5	54	54.0	1	1
10/04/2025	BlueNet_Premium_EN	16:15:00	107	342	99.0	41	41.0	1	0
10/04/2025	BlueNet_Premium_EN	16:30:00	123	381	99.0	52	52.0	1	0
10/04/2025	BlueNet_Premium_EN	16:45:00	109	388	99.0	47	47.0	0	1
10/04/2025	BlueNet_Premium_EN	17:00:00	76	377	99.0	32	32.0	0	0
10/04/2025	BlueNet_Premium_EN	17:15:00	120	359	98.2	48	48.0	1	0
10/04/2025	BlueNet_Premium_EN	17:30:00	110	377	99.0	46	46.0	0	0
10/04/2025	BlueNet_Premium_EN	17:45:00	131	367	99.0	53	53.0	1	0
10/04/2025	BlueNet_Premium_EN	18:00:00	47	344	99.0	18	18.0	0	0
10/04/2025	BlueNet_Premium_EN	18:15:00	72	337	99.0	27	27.0	0	0
10/04/2025	BlueNet_Premium_EN	18:30:00	115	352	97.2	45	45.0	0	1
10/04/2025	BlueNet_Premium_EN	18:45:00	95	344	99.0	36	36.0	0	0
10/04/2025	BlueNet_Premium_EN	19:00:00	95	363	99.0	38	38.0	1	0
10/04/2025	BlueNet_Premium_EN	19:15:00	109	400	97.2	48	48.0	1	0
10/04/2025	BlueNet_Premium_EN	19:30:00	46	366	99.0	19	19.0	0	0
10/04/2025	BlueNet_Premium_EN	19:45:00	39	396	97.9	17	17.0	0	0
10/04/2025	BlueNet_Premium_EN	20:00:00	79	360	99.0	32	32.0	0	0
10/04/2025	BlueNet_Premium_EN	20:15:00	69	355	99.0	27	27.0	0	0
10/04/2025	BlueNet_Premium_EN	20:30:00	45	322	94.1	16	16.0	0	0
10/04/2025	BlueNet_Premium_EN	20:45:00	40	375	97.9	17	17.0	0	0
10/04/2025	BlueNet_Premium_EN	21:00:00	17	343	99.0	6	6.0	0	0
10/04/2025	BlueNet_Premium_EN	21:15:00	78	338	99.0	29	29.0	0	0
10/04/2025	BlueNet_Premium_EN	21:30:00	87	334	99.0	32	32.0	0	0
10/04/2025	BlueNet_Premium_EN	21:45:00	60	368	99.0	25	25.0	0	0
10/04/2025	BlueNet_Premium_EN	22:00:00	45	345	99.0	17	17.0	0	0
10/04/2025	BlueNet_Premium_EN	22:15:00	41	401	99.0	18	18.0	0	0
10/04/2025	BlueNet_Premium_EN	22:30:00	32	387	94.1	14	14.0	0	0
10/04/2025	BlueNet_Premium_EN	22:45:00	17	346	99.0	7	7.0	0	0
10/04/2025	BlueNet_Premium_EN	23:00:00	17	300	95.5	6	6.0	0	0
10/04/2025	BlueNet_Premium_EN	23:15:00	40	362	95.6	16	16.0	0	0
10/04/2025	BlueNet_Premium_EN	23:30:00	17	352	99.0	7	7.0	0	0
