Date	Split/Skill	Time	CALLSOFFERED	AHT	SLA %	Sch	Needed	Aban Calls	Held Calls
10/03/2025	BlueNet_Premium_EN	00:00:00	63	351	98.0	25	25.0	0	0
10/03/2025	BlueNet_Premium_EN	00:15:00	19	370	96.8	8	8.0	0	0
10/03/2025	BlueNet_Premium_EN	00:30:00	62	355	98.0	24	24.0	0	0
10/03/2025	BlueNet_Premium_EN	00:45:00	36	346	99.0	14	14.0	0	0
10/03/2025	BlueNet_Premium_EN	01:00:00	19	395	99.0	8	8.0	0	0
10/03/2025	BlueNet_Premium_EN	01:15:00	77	361	99.0	31	31.0	0	0
10/03/2025	BlueNet_Premium_EN	01:30:00	22	322	99.0	8	8.0	0	0
10/03/2025	BlueNet_Premium_EN	01:45:00	19	343	95.7	7	7.0	0	0
10/03/2025	BlueNet_Premium_EN	02:00:00	61	396	99.0	27	27.0	0	0
10/03/2025	BlueNet_Premium_EN	02:15:00	19	337	98.9	7	7.0	0	0
10/03/2025	BlueNet_Premium_EN	02:30:00	71	373	90.8	29	29.0	1	0
10/03/2025	BlueNet_Premium_EN	02:45:00	35	342	99.0	13	13.0	0	0
10/03/2025	BlueNet_Premium_EN	03:00:00	35	324	99.0	13	13.0	0	0
10/03/2025	BlueNet_Premium_EN	03:15:00	19	372	97.2	8	8.0	0	0
10/03/2025	BlueNet_Premium_EN	03:30:00	23	351	99.0	9	9.0	0	0
10/03/2025	BlueNet_Premium_EN	03:45:00	63	399	99.0	28	28.0	0	0
10/03/2025	BlueNet_Premium_EN	04:00:00	19	388	99.0	8	8.0	0	0
10/03/2025	BlueNet_Premium_EN	04:15:00	88	391	94.7	38	38.0	1	0
10/03/2025	BlueNet_Premium_EN	04:30:00	58	386	97.3	25	25.0	0	0
10/03/2025	BlueNet_Premium_EN	04:45:00	67	377	99.0	28	28.0	0	0
10/03/2025	BlueNet_Premium_EN	05:00:00	101	325	97.9	36	36.0	0	1
10/03/2025	BlueNet_Premium_EN	05:15:00	83	354	99.0	33	33.0	1	0
